[rosmaster.master][INFO] 2019-03-18 14:55:50,901: +SERVICE [/sensor_node_00_06_66_E7_8A_D6/set_logger_level] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:44509/
[rosmaster.master][INFO] 2019-03-18 14:55:50,902: +SERVICE [/aggregation_node_00_06_66_E7_8E_BD/set_logger_level] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:34539/
[rosmaster.master][INFO] 2019-03-18 14:55:50,903: +SERVICE [/sensor_node_00_06_66_E7_8E_BD/set_logger_level] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:36417/
[rosmaster.master][INFO] 2019-03-18 14:55:50,904: +SERVICE [/aggregation_node_00_06_66_E7_8A_D6/set_logger_level] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:37089/
[rosmaster.master][INFO] 2019-03-18 14:55:50,904: +SERVICE [/sensor_node_00_06_66_D2_CF_7B/set_logger_level] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:37453/
[rosmaster.master][INFO] 2019-03-18 14:55:50,905: +SERVICE [/aggregation_node_00_06_66_D2_CF_7B/set_logger_level] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:43551/
[rosmaster.master][INFO] 2019-03-18 14:55:50,906: +SERVICE [/tf_echo_00_06_66_E7_8E_BD/set_logger_level] /tf_echo_00_06_66_E7_8E_BD http://chiliPC:36361/
[rosmaster.master][INFO] 2019-03-18 14:55:50,906: +SERVICE [/tf_echo_00_06_66_E7_8A_D6/set_logger_level] /tf_echo_00_06_66_E7_8A_D6 http://chiliPC:33115/
[rosmaster.master][INFO] 2019-03-18 14:55:50,907: +SERVICE [/tf_echo_00_06_66_D2_CF_7B/set_logger_level] /tf_echo_00_06_66_D2_CF_7B http://chiliPC:35661/
[rosmaster.master][INFO] 2019-03-18 14:55:50,910: +PUB [/rosout_agg] /rosout http://chiliPC:38135/
[rosmaster.master][INFO] 2019-03-18 14:55:50,914: +PUB [/tf_static] /paper_world_broadcaster http://chiliPC:35007/
[rosmaster.master][INFO] 2019-03-18 14:55:50,941: +PUB [/rosout] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:50,942: +PUB [/rosout] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:50,942: +PUB [/rosout] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:50,949: +SUB [/rosout] /rosout http://chiliPC:38135/
[rosmaster.master][INFO] 2019-03-18 14:55:50,950: +SERVICE [/cellulo_node_00_06_66_D2_CF_7B/get_loggers] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:50,951: +SERVICE [/cellulo_node_00_06_66_E7_8A_D6/get_loggers] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:50,952: +SERVICE [/cellulo_node_00_06_66_E7_8E_BD/get_loggers] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:50,958: +SERVICE [/cellulo_node_00_06_66_D2_CF_7B/set_logger_level] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:50,959: +SERVICE [/cellulo_node_00_06_66_E7_8A_D6/set_logger_level] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:50,960: +SERVICE [/cellulo_node_00_06_66_E7_8E_BD/set_logger_level] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:50,963: +SUB [/tf] /tf_echo_00_06_66_E7_8E_BD http://chiliPC:36361/
[rosmaster.master][INFO] 2019-03-18 14:55:50,964: +SUB [/tf] /tf_echo_00_06_66_E7_8A_D6 http://chiliPC:33115/
[rosmaster.master][INFO] 2019-03-18 14:55:50,965: +SUB [/tf] /tf_echo_00_06_66_D2_CF_7B http://chiliPC:35661/
[rosmaster.master][INFO] 2019-03-18 14:55:50,966: +SUB [/setThetaDis] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:34539/
[rosmaster.master][INFO] 2019-03-18 14:55:50,971: +SUB [/setThetaDis] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:37089/
[rosmaster.master][INFO] 2019-03-18 14:55:50,973: +SUB [/setThetaDis] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:43551/
[rosmaster.master][INFO] 2019-03-18 14:55:50,978: +PUB [/cellulo_node_00_06_66_E7_8E_BD/setGoalVelocity] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:34539/
[rosmaster.master][INFO] 2019-03-18 14:55:50,981: +PUB [/cellulo_node_00_06_66_E7_8A_D6/setGoalVelocity] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:37089/
[rosmaster.master][INFO] 2019-03-18 14:55:50,983: +PUB [/cellulo_node_00_06_66_D2_CF_7B/setGoalVelocity] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:43551/
[rosmaster.master][INFO] 2019-03-18 14:55:50,991: +SUB [/setThreshold] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:44509/
[rosmaster.master][INFO] 2019-03-18 14:55:50,993: +SUB [/setThreshold] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:36417/
