[rosmaster.master][INFO] 2019-03-18 14:23:22,099: +PUB [/cellulo_node_00_06_66_D2_CF_7B/setGoalVelocity] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:33115/
[rosmaster.master][INFO] 2019-03-18 14:23:22,105: +SUB [/setThreshold] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:39497/
[rosmaster.master][INFO] 2019-03-18 14:23:22,106: +SUB [/setThreshold] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:42481/
[rosmaster.master][INFO] 2019-03-18 14:23:22,107: +SUB [/setThreshold] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:43265/
[rosmaster.master][INFO] 2019-03-18 14:23:22,114: +SUB [/tf_static] /tf_echo_00_06_66_E7_8A_D6 http://chiliPC:46111/
[rosmaster.master][INFO] 2019-03-18 14:23:22,116: +SUB [/tf_static] /tf_echo_00_06_66_D2_CF_7B http://chiliPC:45041/
[rosmaster.master][INFO] 2019-03-18 14:23:22,119: +SUB [/tf_static] /tf_echo_00_06_66_E7_8E_BD http://chiliPC:39643/
[rosmaster.master][INFO] 2019-03-18 14:23:22,124: +SUB [/sensor_node_00_06_66_E7_8A_D6/detectedRobots] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:41979/
[rosmaster.master][INFO] 2019-03-18 14:23:22,126: +SUB [/sensor_node_00_06_66_E7_8E_BD/detectedRobots] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:40679/
[rosmaster.master][INFO] 2019-03-18 14:23:22,127: +SUB [/sensor_node_00_06_66_D2_CF_7B/detectedRobots] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:33115/
[rosmaster.master][INFO] 2019-03-18 14:23:22,130: +SUB [/tf] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:39497/
[rosmaster.master][INFO] 2019-03-18 14:23:22,132: +SUB [/tf] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:43265/
[rosmaster.master][INFO] 2019-03-18 14:23:22,133: +SUB [/tf] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:42481/
[rosmaster.master][INFO] 2019-03-18 14:23:22,144: +SUB [/sensor_node_00_06_66_E7_8A_D6/detectedObstacles] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:41979/
[rosmaster.master][INFO] 2019-03-18 14:23:22,146: +SUB [/sensor_node_00_06_66_E7_8E_BD/detectedObstacles] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:40679/
[rosmaster.master][INFO] 2019-03-18 14:23:22,147: +SUB [/sensor_node_00_06_66_D2_CF_7B/detectedObstacles] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:33115/
[rosmaster.master][INFO] 2019-03-18 14:23:22,150: +SUB [/tf_static] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:39497/
